data,region_code,denominazione_region,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_insulation,new_positives,resigned_healed
2020-02-24T18:00:00,13,Abruzzo,0,0,0,0,0,0
2020-02-24T18:00:00,17,Basilicata,0,0,0,0,0,0
2020-02-24T18:00:00,18,Calabria,0,0,0,0,0,0
2020-02-24T18:00:00,15,Campania,0,0,0,0,0,0
2020-02-24T18:00:00,8,Emilia-Romagna,10,2,12,6,18,0
2020-02-24T18:00:00,6,Friuli Venezia Giulia,0,0,0,0,0,0
2020-02-24T18:00:00,12,Lazio,1,1,2,0,2,1
2020-02-24T18:00:00,7,Liguria,0,0,0,0,0,0
2020-02-24T18:00:00,3,Lombardia,76,19,95,71,166,0
2020-02-24T18:00:00,11,Marche,0,0,0,0,0,0
2020-02-24T18:00:00,14,Molise,0,0,0,0,0,0
2020-02-24T18:00:00,21,P.A. Bolzano,0,0,0,0,0,0
2020-02-24T18:00:00,22,P.A. Trento,0,0,0,0,0,0
2020-02-24T18:00:00,1,Piemonte,2,0,2,1,3,0
2020-02-24T18:00:00,16,Puglia,0,0,0,0,0,0
2020-02-24T18:00:00,20,Sardegna,0,0,0,0,0,0
2020-02-24T18:00:00,19,Sicilia,0,0,0,0,0,0
2020-02-24T18:00:00,9,Toscana,0,0,0,0,0,0
2020-02-24T18:00:00,10,Umbria,0,0,0,0,0,0
2020-02-24T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0
2020-02-24T18:00:00,5,Veneto,12,4,16,16,32,0
2020-02-25T18:00:00,13,Abruzzo,0,0,0,0,0,0
2020-02-25T18:00:00,17,Basilicata,0,0,0,0,0,0
2020-02-25T18:00:00,18,Calabria,0,0,0,0,0,0
2020-02-25T18:00:00,15,Campania,0,0,0,0,0,0
2020-02-25T18:00:00,8,Emilia-Romagna,15,2,17,9,8,0
2020-02-25T18:00:00,6,Friuli Venezia Giulia,0,0,0,0,0,0
2020-02-25T18:00:00,12,Lazio,1,1,2,0,0,1
2020-02-25T18:00:00,7,Liguria,1,0,1,0,1,0
2020-02-25T18:00:00,3,Lombardia,79,25,104,127,68,0
2020-02-25T18:00:00,11,Marche,0,0,0,0,0,0
2020-02-25T18:00:00,14,Molise,0,0,0,0,0,0
2020-02-25T18:00:00,21,P.A. Bolzano,1,0,1,0,1,0
2020-02-25T18:00:00,22,P.A. Trento,0,0,0,0,0,0
2020-02-25T18:00:00,1,Piemonte,2,0,2,1,0,0
2020-02-25T18:00:00,16,Puglia,0,0,0,0,0,0
2020-02-25T18:00:00,20,Sardegna,0,0,0,0,0,0
2020-02-25T18:00:00,19,Sicilia,1,0,1,2,3,0
2020-02-25T18:00:00,9,Toscana,2,0,2,0,2,0
2020-02-25T18:00:00,10,Umbria,0,0,0,0,0,0
2020-02-25T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0
2020-02-25T18:00:00,5,Veneto,12,7,19,23,10,0
2020-02-26T18:00:00,13,Abruzzo,0,0,0,0,0,0
2020-02-26T18:00:00,17,Basilicata,0,0,0,0,0,0
